qid,chapter,correct,question_text,score_length(機械),score_qualifier(機械),score_keyword(機械),score_surface(Claude),score_knowledge(Claude),合計スコア,判定区分,Claude判定理由,選択肢A,選択肢B,選択肢C,選択肢D,正解文字数,不正解平均文字数
Q1-001,第1章,C,人工知能（AI）の説明として最も適切なものはどれか。,3,0,0,4,4,11,注意,AI=知的活動は常識。他選択肢DB/インター/HWは明らかに別技術で消去法可能,大量のデータを高速に保存・管理するデータベース技術,インターネットを介して複数のコンピュータを接続する技術,人間の知的活動をコンピュータによって実現しようとする技術の総称,コンピュータのハードウェアを小型化する技術,31,24
Q1-002,第1章,A,機械学習における「教師あり学習」の説明として最も適切なものはどれか。,3,0,0,1,1,5,良問,教師あり/なし/強化/NN の純粋な定義問題、知識依存,正解ラベル付きのデータを用いて入力と出力の関係を学習する手法,報酬と罰則に基づいて最適な行動を学習する手法,正解ラベルのないデータからパターンを自動的に発見する学習手法,人間の脳の神経回路を模倣した学習手法,30,23
Q1-003,第1章,C,深層学習（ディープラーニング）が従来の機械学習と比較して優れている点として最も適切なものはどれか。,5,0,0,3,2,10,注意,不正解はDLの弱点を逆に書いた典型誤答誘導、知識あれば即,計算コストが低く、高速に処理できる,モデルの判断根拠が人間にとって理解しやすい,特徴量を人間が設計する必要がなく、データから自動的に学習できる,少量のデータでも高精度な予測が可能である,31,19
Q1-004,第1章,B,生成AI（Generative AI）の説明として最も適切なものはどれか。,3,0,1,4,4,12,注意,「生成AI=コンテンツを生成」と名前のまま、メタ読み容易,入力データを分類・識別することを主目的としたAI,テキスト、画像、音声などの新しいコンテンツを生成することができるAI,センサーから得られたデータをリアルタイムで処理するAI,過去のデータから将来の数値を予測することを主目的としたAI,34,27
Q1-005,第1章,A,大規模言語モデル（LLM）に関する説明として適切でないものはどれか。,0,1,0,4,3,8,注意,正解Aの「常に正確」が断定語で違和感、AIに「常に」はないと常識的,医療分野の専門知識については常に正確な情報を出力する,文章の生成、要約、翻訳など多様なタスクに対応できる,GPT、Claude、Geminiなどが代表的なモデルとして知られている,大量のテキストデータを用いて事前学習されている,26,28
Q1-006,第1章,B,生成AIが事実とは異なる情報をあたかも正しいかのように出力する現象を何と呼ぶか。,1,0,0,1,0,2,良問,用語の純粋な知識問題、メタ読み困難,オーバーフィッティング,ハルシネーション,プロンプトインジェクション,データポイズニング,8,11
Q1-007,第1章,B,RAG（Retrieval-Augmented Generation：検索拡張生成）の特徴として最も適切なものはどれか。,3,0,0,1,0,4,良問,RAGの定義、他選択肢も別技術として valid,モデル自体を再学習させることで精度を向上させる,外部の知識ベースから情報を検索し、その結果をもとに回答を生成する,複数のAIモデルを組み合わせてアンサンブル学習を行う,人間のフィードバックをもとにモデルの出力を改善する,32,25
Q1-008,第1章,D,大規模言語モデル（LLM）の基盤技術であるTransformerの特徴として最も適切なものはどれか。,5,0,0,3,1,9,注意,Transformer=Attentionは基礎知識、不正解は別系統ML,畳み込み演算により画像の特徴を抽出する,決定木を複数組み合わせて予測精度を向上させる,遺伝的アルゴリズムにより最適解を探索する,Attention機構により入力系列の各要素間の関連性を学習する,32,20
Q1-009,第1章,C,ファインチューニングの説明として最も適切なものはどれか。,3,0,0,1,0,4,良問,ファインチューニング定義、不正解も別概念として valid,入力プロンプトを工夫することで出力の質を向上させる手法,モデルのパラメータ数を増やして性能を向上させる手法,学習済みモデルを特定のドメインやタスクのデータで追加学習させる手法,複数のモデルの出力を統合して最終的な回答を得る手法,33,26
Q1-010,第1章,B,主要な生成AIサービスとその開発元の組み合わせとして正しいものはどれか。,3,0,0,1,0,4,良問,純粋な開発元組み合わせ知識,ChatGPT — Google,Claude — Anthropic,Copilot — Meta,Gemini — OpenAI,18,15
Q1-011,第1章,A,大規模言語モデルにおける「トークン」の説明として最も適切なものはどれか。,5,0,0,2,1,8,注意,トークン=分割単位、他は明らかに別概念,テキストを処理する際の分割単位であり、単語や部分文字列に相当する,モデルの学習に使用するデータセットの単位,モデルのパラメータを格納するメモリ領域,AIサービスを利用するための認証キー,32,19
Q1-012,第1章,C,大規模言語モデルの事前学習（Pre-training）の説明として最も適切なものはどれか。,4,0,0,1,0,5,良問,事前学習の定義、不正解も別工程として valid,学習済みモデルのパラメータを初期化すること,モデルの出力を人間が評価してフィードバックを与えること,大量のテキストデータを用いて言語の一般的なパターンを学習すること,特定のタスクに特化したデータで追加学習を行うこと,32,24
Q1-013,第1章,B,マルチモーダルAIの説明として最も適切なものはどれか。,5,0,0,3,2,10,注意,「マルチモーダル=複数の種類のデータ」と名前から推測可能,複数の言語に対応した翻訳機能を持つAI,テキスト、画像、音声など複数の種類のデータを統合的に処理できるAI,複数のクラウドサービスで分散処理を行うAI,複数のユーザーが同時にアクセスできるAIシステム,33,21
Q1-014,第1章,A,AIの機能による分類において、「識別系AI」に該当するものはどれか。,0,0,0,2,1,3,良問,識別=分類と知っていれば犬猫判定は即,入力された画像が犬か猫かを判定するAI,過去の売上データから将来の売上を予測するAI,質問に対して文章で回答を生成するAI,チェスや囲碁で最適な一手を選択するAI,19,20
Q1-015,第1章,D,AI（人工知能）の歴史に関する説明として最も適切なものはどれか。,4,0,0,1,0,5,良問,AI史の純粋知識、不正解は事実誤認で知識必須,第3次AIブームは1990年代に始まり、インターネットの普及が主な要因であった,第1次AIブームでは深層学習が発明され、画像認識精度が飛躍的に向上した,AIという用語は2000年代に初めて提唱された,第2次AIブームではエキスパートシステムが注目されたが、知識獲得のボトルネックが課題となった,46,32
Q1-016,第1章,A,生成AIサービスにおけるAPI（Application Programming Interface）の役割として最も適切なものはどれか。,5,0,0,4,3,12,注意,API=インターフェースの一般語と一致、他は明らかに別機能,外部のシステムやアプリケーションからAIモデルの機能を呼び出すためのインターフェース,ユーザーの入力データを自動的にバックアップする,AIモデルの学習データを暗号化して保護する,AIモデルのパラメータを自動的に最適化する,42,22
Q1-017,第1章,A,医療機関がAIを導入する際の実行環境として、オンプレミス環境を選択する主な理由はどれか。,4,3,0,3,2,12,注意,オンプレ=院内データ留保、他選択肢は逆や非現実的,患者データを院内に留め、外部へのデータ流出リスクを低減できるため,常に最新のAIモデルに自動更新されるため,初期導入コストを最小限に抑えられるため,インターネット接続がない環境でも高性能なAI処理が保証されるため,32,24
Q1-018,第1章,A,オープンソースの大規模言語モデルを医療機関が利用する際の特徴として最も適切なものはどれか。,4,0,0,3,2,9,注意,OSS=自由運用、他は商用モデルの特徴で矛盾,モデルを自組織のサーバーで運用でき、データを外部に送信せずに利用できる,利用料金が従量課金制であり、使用量に応じたコストが発生する,モデルの内部構造が非公開のため、セキュリティが高い,開発元の企業による24時間サポートが標準で提供される,35,27
Q1-019,第1章,B,基盤モデル（Foundation Model）の特徴として最も適切なものはどれか。,4,3,0,2,2,11,注意,基盤モデル=汎用、不正解は「専用」「のみ」「従来型」で限定的,特定のタスク専用に設計された小規模なモデル,大量のデータで学習され、多様なタスクに適応可能な汎用性の高いモデル,医療分野のみで使用される専門特化型のモデル,ルールベースで動作する従来型のエキスパートシステム,33,22
Q1-020,第1章,B,医療現場で使用されるAIシステムの分類として、「汎用型AI（AGI）」と「特化型AI」の違いに関する説明として最も適切なものはどれか。,3,0,0,3,2,8,注意,特化型=特定タスク、不正解A/C/Dは事実誤認,汎用型AIはすでに実用化されており、医師の業務をすべて代替することが可能である,特化型AIは特定のタスク（画像診断、問診支援など）に限定して高い性能を発揮するが、他のタスクには適用できない,特化型AIと汎用型AIは技術的に同一であり、設定の変更だけで相互に切り替え可能である,現在医療現場で実用化されているAIの多くは汎用型AIであり、あらゆる診療科の業務に対応できる,54,42
Q1-021,第1章,A,病院の医療情報部門が、過去の患者データを用いて再入院リスクを予測するAIモデルを開発する場合、最も適切な機械学習の手法はどれか。,3,3,2,2,1,11,注意,教師あり/なし/転移/強化、用途と一致するものを選ぶ知識問題,教師あり学習により、過去の再入院有無をラベルとして学習させる,教師なし学習により、患者データのクラスタリングのみを行う,転移学習により、画像認識モデルをそのまま適用する,強化学習により、報酬を設定してモデルを訓練する,30,25
Q1-022,第1章,D,深層学習で用いられるニューラルネットワークの構成要素として適切でないものはどれか。,0,0,0,5,4,9,注意,決定木層はNN構成にないと知識少しで明らか,出力層,入力層,隠れ層（中間層）,決定木層,4,5
Q1-023,第1章,B,医療機関が生成AIを業務に導入する際のリスク評価として、最も優先的に検討すべき事項はどれか。,0,0,0,4,4,8,注意,医療AI=患者安全、他は副次的事項で常識的,生成AIサービスのユーザーインターフェースの使いやすさ,生成AIが出力する情報の正確性と、患者安全への影響,生成AIの導入に必要なスタッフのトレーニング時間,生成AIの導入によるシステム応答速度の低下,25,24
Q1-024,第1章,D,大規模言語モデル（LLM）の「コンテキスト長（コンテキストウィンドウ）」に関する説明として最も適切なものはどれか。,5,0,0,2,1,8,注意,コンテキスト長の定義、他選択肢も別指標として valid,モデルが回答を生成するまでの処理時間,モデルのパラメータ数を表す指標,モデルの学習に使用されたデータの総量,モデルが一度に処理できる入力と出力の合計トークン数の上限,28,17
Q1-025,第1章,C,医師が生成AIを使用して患者への説明文書を作成する際、ハルシネーションによるリスクを低減するための対策として最も効果的なものはどれか。,4,1,1,4,4,14,注意,医師確認は医療の常識、他は明らかに不適切,生成AIの出力をそのまま使用し、患者からのフィードバックを待つ,より高価な生成AIサービスを利用する,生成AIの出力を医師が必ず確認し、医学的根拠に照らして内容を検証する,生成AIへの入力文を短くして、出力の量を減らす,34,24
Q1-026,第1章,A,医療機関がRAG（検索拡張生成）を用いて院内の診療ガイドラインに基づく回答システムを構築する場合、最も重要な考慮事項はどれか。,2,1,0,4,3,10,注意,RAG=知識ベース、最新性が重要は推論可能,参照する知識ベースの情報を常に最新かつ正確に保つ,ユーザーインターフェースのデザインを優先する,システムの応答速度を最優先で最適化する,AIモデルのパラメータ数を可能な限り大きくする,24,21
Q1-027,第1章,B,RLHF（Reinforcement Learning from Human Feedback）の説明として最も適切なものはどれか。,3,0,0,1,0,4,良問,RLHFの純粋な定義問題,人間が作成した大量のテキストデータでモデルを事前学習させる手法,人間の評価・フィードバックをもとにAIの出力品質を改善する強化学習の手法,人間が選んだ特徴量を用いて機械学習モデルを訓練する手法,人間がプログラムコードを直接編集してモデルを調整する手法,36,29
Q1-028,第1章,A,以下の生成AIサービスのうち、Microsoftが提供しているものはどれか。,2,0,0,1,0,3,良問,Microsoft=Copilotの純粋知識,Copilot,ChatGPT,Gemini,Claude,7,6
Q1-029,第1章,A,大規模言語モデル（LLM）における「パラメータ」の説明として最も適切なものはどれか。,5,0,0,3,1,9,注意,パラメータ=重みの定義、不正解は明らかに別概念,モデルが学習により獲得する数値の重みであり、モデルの規模を表す指標となる,AIサービスの利用料金を決定する単位,ユーザーがAIに入力する指示文のこと,モデルが出力できる文章の最大文字数,36,18
Q1-030,第1章,A,大規模言語モデル（LLM）の「推論」に関する説明として最も適切なものはどれか。,4,0,0,2,1,7,良問,推論の定義、不正解も別工程として valid,学習済みモデルを用いてユーザーの入力に対する出力を生成する処理,大量のテキストデータを用いてモデルの重みを更新する処理,学習データからノイズを除去する前処理,モデルのアーキテクチャを設計する処理,31,21
Q1-031,第1章,B,救急外来でリアルタイムにバイタルサインを解析してアラートを出すAIシステムを導入する場合、最も適した実行環境はどれか。,4,0,0,3,2,9,注意,リアルタイム=エッジAI、他は遅延がある選択肢,海外のクラウドサービス,医療機器に組み込まれたエッジAI,院内のオンプレミスサーバー,スマートフォンアプリ,16,11
Q1-032,第1章,B,Transformerアーキテクチャの中核となる機構として最も適切なものはどれか。,5,0,1,1,0,7,良問,Transformer=Attentionの定型知識、Q1-008と同種,畳み込み演算,Attention機構,決定木分岐,再帰的接続,11,5
Q1-033,第1章,C,医療機関が汎用LLMを医療特化型にファインチューニングする際の留意点として最も適切なものはどれか。,2,5,1,4,3,15,要改善,医療データ取扱は倫理・匿名化の常識、他は断定的誤,学習データの量を最大化するため、匿名化せずに診療記録を使用する,ファインチューニング後は元の汎用能力が完全に失われるため、慎重に検討する,学習データには正確な医学情報を使用し、個人情報の適切な処理と倫理審査を行う,ファインチューニングはAPI提供元でのみ実施可能であり、自組織では行えない,37,35
Q1-034,第1章,A,医療事務担当者がLLMを用いて長文の診療情報提供書を要約する際、「コンテキスト長を超えました」というエラーが発生した。この問題を解決する方法として最も適切なものはどれか。,5,0,0,3,2,10,注意,コンテキスト超過=分割は直感的、他は無関係解決策,入力文書を分割して複数回に分けて処理し、結果を統合する,AIモデルのパラメータ数を増やす設定に変更する,出力の文字数制限を解除する,インターネット接続速度を向上させる,27,18
Q1-035,第1章,D,生成AIがハルシネーションを起こしやすい状況として最も適切なものはどれか。,5,0,0,3,2,10,注意,AI弱点=未学習領域、他は無関係要因,学習データに十分な情報が含まれている一般的な質問に回答する場合,AIの応答速度が高速な場合,ユーザーが短い単語で質問した場合,学習データに含まれていない最新の情報や専門的な知識を求められた場合,33,20
Q1-036,第1章,A,マルチモーダルAIを医療現場で活用する例として最も適切なものはどれか。,5,5,0,5,4,19,要改善,マルチモーダル=複数種類のデータ、他はそもそも該当しない,患者の問診内容（テキスト）と皮膚病変の写真（画像）を組み合わせて診断を支援するシステム,医療従事者のシフト管理のみを行うシステム,電子カルテの文字入力のみを補助するシステム,院内の空調を制御するシステム,43,18
Q1-037,第1章,C,機械学習における「教師なし学習」の活用例として最も適切なものはどれか。,4,0,0,2,1,7,良問,教師なし=クラスタリングは典型例、他は別学習タイプ,文章を要約して出力する,過去のデータから将来の売上を予測する,患者を類似した特徴を持つグループに分類する,画像が腫瘍か正常かを判定する,21,14
Q1-038,第1章,A,医療機関が生成AIのAPIを利用する際の注意点として適切でないものはどれか。,1,0,0,4,4,9,注意,正解A「検証不要」は明らかな誤、AI出力検証は医療の常識,APIを利用すれば、出力結果の検証は不要となる,APIに送信するデータに患者の個人情報が含まれないよう注意する,APIの利用料金体系を把握し、コスト管理を行う,API利用規約を確認し、入力データの取り扱いを理解する,23,27
Q1-039,第1章,B,医療機関がAIモデルを選定する際、プロプライエタリ（商用）モデルとオープンソースモデルの比較として最も適切なものはどれか。,5,5,2,4,4,20,要改善,「完全免除」「一切禁止」「必ず」など断定誘導、Bだけ穏当,オープンソースモデルを使用すれば、法的責任から完全に免除される,医療機関のニーズに応じて、セキュリティ、コスト、性能、サポート体制を総合的に評価して選定すべきである,オープンソースモデルは商用利用が一切禁止されている,プロプライエタリモデルは必ずオープンソースモデルより高性能である,50,29
Q1-040,第1章,B,大規模言語モデルの事前学習に使用されるデータソースとして一般的なものはどれか。,5,5,0,5,4,19,要改善,不正解全部に「のみ」誘導、LLM=ネット大量データは一般常識,特定企業の機密文書のみ,インターネット上のウェブページ、書籍、論文などの大量のテキストデータ,音声データのみ,画像データのみ,34,8
Q1-041,第1章,C,放射線科の医師が胸部X線画像の異常検出AIの導入を検討している。このAIに使用される深層学習の技術として最も適切なものはどれか。,0,0,0,3,2,5,良問,画像=CNNはAI基礎知識,リカレントニューラルネットワーク（RNN）,サポートベクターマシン（SVM）,畳み込みニューラルネットワーク（CNN）,決定木アルゴリズム,20,15
Q1-042,第1章,C,RAG（検索拡張生成）をファインチューニングと比較した場合の利点として最も適切なものはどれか。,5,5,0,4,3,17,要改善,不正解「全く」「100%」「インター不要」断定誘導,計算リソースが全く必要ない,あらゆる質問に対して100%正確な回答ができる,モデルの再学習が不要で、知識ベースの更新だけで最新情報に対応できる,インターネット接続なしで動作する,33,17
